policy_name,policy_tag,total_cases,revenue_at_risk_brl,recovered_revenue_brl,net_policy_utility_brl,recovery_rate_pct,avg_recovered_per_case_brl,abs_revenue_lift_vs_rb_brl,pct_revenue_lift_vs_rb,net_utility_lift_vs_rb_brl,regret_vs_upper_bound_brl,guardrail_violations
ML Policy,ML,2283,345292.12,184987.96,179015.96,52.299605781865964,81.02845378887429,7861.540000000008,4.438377967555607,5947.540000000008,160.80000000001746,0
Always-NUDGE Baseline,ALWAYS_NUDGE,2283,345292.12,125195.89,119488.39,35.654840122645645,54.83832238282961,-51930.529999999984,-29.318342232626836,-53580.029999999984,59688.37000000001,0
Rule-Based Policy,RULE_BASED,2283,345292.12,177126.41999999998,173068.41999999998,50.59132720105125,77.58494086727988,0.0,0.0,0.0,6108.340000000026,0
Simulation Policy Upper Bound,UPPER_BOUND,2283,345292.12,185002.26,179176.76,52.343407796758655,81.03471747700395,7875.840000000026,4.446451297327653,6108.340000000026,0.0,0
